img,label
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063817476_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063817476_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063817699_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063817699_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063817901_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063817901_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063818103_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063818103_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063818305_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063818305_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063818507_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063818507_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063818709_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063818709_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063818911_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063818911_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063819113_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063819113_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063819315_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063819315_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063819517_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063819517_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063819719_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063819719_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063819921_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063819921_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063820123_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063820123_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063820325_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063820325_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063820527_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063820527_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063820729_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063820729_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063820931_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063820931_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063821133_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063821133_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063821335_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063821335_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063821537_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063821537_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063821739_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063821739_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063821941_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063821941_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063822143_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063822143_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063822345_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063822345_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063822547_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063822547_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063822749_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063822749_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063822951_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063822951_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063823153_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063823153_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063823355_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063823355_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063823544_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063823544_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063823725_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063823725_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063823906_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063823906_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063824087_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063824087_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063824268_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063824268_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063824449_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063824449_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063824630_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063824630_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063824811_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063824811_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063824992_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063824992_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063825173_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063825173_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063825354_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063825354_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063825535_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063825535_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063825716_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063825716_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063825877_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063825877_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063826038_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063826038_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063826199_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063826199_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063826360_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063826360_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063826521_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063826521_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063826682_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063826682_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063826843_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063826843_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063827004_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063827004_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063827165_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063827165_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063827326_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063827326_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063827487_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063827487_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063827648_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063827648_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063827809_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063827809_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063827970_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063827970_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063828131_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063828131_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063828292_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063828292_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063828453_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063828453_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063828614_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063828614_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063828775_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063828775_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063828936_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063828936_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063829077_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063829077_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063829218_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063829218_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063829359_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063829359_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063829500_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063829500_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063829641_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063829641_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063829782_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063829782_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063829923_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063829923_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063830064_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063830064_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063830205_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063830205_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063830346_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063830346_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063830487_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063830487_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063830628_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063830628_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063830769_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063830769_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063830910_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063830910_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063831051_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063831051_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063831192_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063831192_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063831333_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063831333_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063831474_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063831474_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063831615_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063831615_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063831756_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063831756_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063831897_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063831897_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063832038_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063832038_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063832179_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063832179_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063832320_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063832320_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063832461_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063832461_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063832602_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063832602_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063832743_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063832743_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063832884_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063832884_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063833025_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063833025_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063833166_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063833166_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063833307_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063833307_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063833448_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063833448_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063833589_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063833589_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063833730_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063833730_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063833871_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063833871_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834012_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834012_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834153_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834153_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834294_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834294_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834435_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834435_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834576_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834576_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834717_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834717_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834858_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834858_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063834999_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063834999_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063835140_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063835140_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063835281_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063835281_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063835422_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063835422_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063835563_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063835563_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063835704_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063835704_Camera_5_bin.png
